ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12622465,JF149923,02/19/2022 10:36:00 AM,010XX N FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,true,true,1211,012,26,24,08B,1156861,1906972,2022,09/15/2023 03:41:25 PM,41.900505589,-87.699285044,"(41.900505589, -87.699285044)"
12640859,JF172230,03/13/2022 05:15:00 AM,012XX W PRATT BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2431,024,49,1,08B,1166646,1945317,2022,09/15/2023 03:41:25 PM,42.00552183,-87.662241448,"(42.00552183, -87.662241448)"
12667337,JF203985,04/10/2022 09:38:00 PM,011XX N CHERRY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,true,true,1822,018,27,8,26,1169620,1907431,2022,09/15/2023 03:41:25 PM,41.901496787,-87.652407386,"(41.901496787, -87.652407386)"
12671049,JF208259,04/14/2022 10:10:00 PM,003XX E OHIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,true,true,1834,018,2,8,08B,1178915,1904276,2022,09/15/2023 03:41:25 PM,41.892631803,-87.618362824,"(41.892631803, -87.618362824)"
13211114,JG405502,08/23/2023 12:30:00 PM,041XX S CICERO AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,GAS STATION,false,false,0815,008,22,56,17,1145059,1876459,2023,09/17/2023 03:41:45 PM,41.817005122,-87.743404842,"(41.817005122, -87.743404842)"
12678035,JF216671,04/22/2022 11:30:00 PM,044XX N BROADWAY,0810,THEFT,OVER $500,APARTMENT,true,true,1914,019,46,3,06,1168614,1929562,2022,09/15/2023 03:41:25 PM,41.962247182,-87.6554598,"(41.962247182, -87.6554598)"
12735680,JF286563,06/20/2022 12:50:00 AM,085XX S PEORIA ST,041A,BATTERY,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC GROUNDS,false,false,0613,006,17,71,04B,1171804,1848175,2022,09/15/2023 03:41:25 PM,41.738844769,-87.646126146,"(41.738844769, -87.646126146)"
12792322,JF354686,08/12/2022 01:00:00 AM,062XX S KILDARE AVE,0263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,true,true,0813,008,13,65,02,1148777,1862896,2022,09/15/2023 03:41:25 PM,41.779715327,-87.730115202,"(41.779715327, -87.730115202)"
12829768,JF398130,09/16/2022 07:00:00 AM,030XX N WHIPPLE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,false,false,1411,014,35,21,03,1155521,1919887,2022,09/15/2023 03:41:25 PM,41.935972475,-87.703858758,"(41.935972475, -87.703858758)"
12876410,JF454959,10/30/2022 05:30:00 AM,0000X E JACKSON BLVD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0113,001,34,32,03,1176571,1899006,2022,09/15/2023 03:41:25 PM,41.878223912,-87.627130568,"(41.878223912, -87.627130568)"
12885646,JF465749,11/05/2022 12:49:00 PM,044XX W RICE ST,0620,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,true,false,1111,011,37,23,05,1146532,1905297,2022,09/15/2023 03:41:25 PM,41.896112422,-87.737267038,"(41.896112422, -87.737267038)"
12893219,JF474959,11/14/2022 05:00:00 PM,012XX S INDEPENDENCE BLVD,0325,ROBBERY,VEHICULAR HIJACKING,STREET,true,false,1011,010,24,29,03,1151289,1894080,2022,09/15/2023 03:41:25 PM,41.865239745,-87.720089778,"(41.865239745, -87.720089778)"
13039389,JG220013,04/12/2023 08:15:00 AM,011XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,false,true,1132,011,24,29,08B,1149894,1894597,2023,09/15/2023 03:41:25 PM,41.866685684,-87.725197461,"(41.866685684, -87.725197461)"
13080472,JG269806,05/22/2023 01:20:00 AM,070XX S CORNELL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0332,003,5,43,26,1188569,1858598,2023,09/15/2023 03:41:25 PM,41.76706266,-87.584370768,"(41.76706266, -87.584370768)"
13122119,JG319090,06/28/2023 04:00:00 AM,059XX W OHIO ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,true,false,1512,015,29,25,05,1136779,1903375,2023,09/15/2023 03:41:25 PM,41.891018558,-87.773134462,"(41.891018558, -87.773134462)"
13125134,JG322470,04/01/2023 12:00:00 AM,046XX N LAWNDALE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,1723,017,33,14,17,1150886,1930603,2023,09/15/2023 03:41:25 PM,41.965470104,-87.720611331,"(41.965470104, -87.720611331)"
13145506,JG346798,07/18/2023 09:50:00 PM,006XX W ROOSEVELT RD,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,true,false,0124,001,28,28,04B,1172202,1894955,2023,09/15/2023 03:41:25 PM,41.867205212,-87.643291977,"(41.867205212, -87.643291977)"
13160019,JG364057,07/31/2023 08:40:00 PM,028XX S NORMAL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,true,false,0914,009,11,60,05,1173198,1886224,2023,09/15/2023 03:41:25 PM,41.843224654,-87.639894406,"(41.843224654, -87.639894406)"
13160405,JG364451,07/08/2023 12:13:00 PM,005XX W MADISON ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,true,false,0121,001,34,28,17,1172508,1900293,2023,09/15/2023 03:41:25 PM,41.881846294,-87.64201078,"(41.881846294, -87.64201078)"
13169670,JG375651,08/09/2023 12:10:00 AM,011XX N AUSTIN BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,true,false,1511,015,29,25,05,1136159,1906981,2023,09/15/2023 03:41:25 PM,41.900924968,-87.775325323,"(41.900924968, -87.775325323)"
